building_id,load_type,ashrae_climate_zone,vintage,building_type,location,area_sqm,annual_heating_cooling_ratio,chw_annual_load,chw_cooling_hour_ratio,chw_cooling_hours,chw_data_coverage,chw_max_load,chw_max_load_gt0,chw_max_load_per_area,chw_mean_load,chw_mean_load_gt0,chw_median_load,chw_median_load_gt0,chw_min_load,chw_min_load_gt0,chw_pct_below_10pct_max,chw_pct_below_20pct_max,chw_pct_below_30pct_max,chw_pct_below_40pct_max,chw_pct_below_50pct_max,chw_pct_below_60pct_max,chw_pct_below_70pct_max,chw_pct_below_80pct_max,chw_pct_below_90pct_max,chw_q25_load,chw_q75_load,chw_valid_hours,heat_recovery_heating_fraction,hhw_annual_load,hhw_data_coverage,hhw_heating_hour_ratio,hhw_heating_hours,hhw_max_load,hhw_max_load_gt0,hhw_max_load_per_area,hhw_mean_load,hhw_mean_load_gt0,hhw_median_load,hhw_median_load_gt0,hhw_min_load,hhw_min_load_gt0,hhw_pct_below_10pct_max,hhw_pct_below_20pct_max,hhw_pct_below_30pct_max,hhw_pct_below_40pct_max,hhw_pct_below_50pct_max,hhw_pct_below_60pct_max,hhw_pct_below_70pct_max,hhw_pct_below_80pct_max,hhw_pct_below_90pct_max,hhw_q25_load,hhw_q75_load,hhw_valid_hours,max_heating_load_after_heat_recovery,max_temp,mean_temp,median_temp,min_temp,q10_temp,q20_temp,q25_temp,q30_temp,q40_temp,q50_temp,q60_temp,q70_temp,q75_temp,q80_temp,q90_temp,ratio_of_peak_heating_and_cooling,simultaneous_heating_and_cooling_hour_ratio,simultaneous_heating_and_cooling_hours
21,simulation,3B,2000s,Hospital,El Paso,22000,0.28,6420134657.62,100.0,8760.0,100.0,3187894.39,3187894.39,142.09,732892.08,732892.08,747831.44,747831.44,88781.81,88781.81,21.08,46.2,67.88,89.73,98.94,99.39,99.69,99.86,99.97,345984.67,1047452.97,8760.0,0.97,1824798830.79,100.0,100.0,8760.0,426654.79,426654.79,19.02,208310.37,208310.37,204176.73,204176.73,16244.09,16244.09,0.09,1.07,9.27,30.13,56.51,78.29,89.6,97.0,99.57,161344.24,246569.66,8760.0,296411.59,38.9,17.98,18.47,-4.64,5.46,9.08,10.71,12.16,15.35,18.47,21.35,23.76,25.11,26.66,30.25,0.13,100.0,8760.0
22,simulation,8,2000s,Hospital,Fairbanks,22000,1.68,2429164027.96,68.6,6009.0,100.0,1251056.63,1251056.63,55.76,277301.83,404254.29,153259.18,312817.65,0.0,0.13,46.75,58.85,71.31,77.16,78.26,87.03,93.94,97.66,99.51,0.0,417397.83,8760.0,0.31,4092122481.35,100.0,100.0,8760.0,1355884.98,1355884.98,60.43,467137.27,467137.27,362375.6,362375.6,151694.27,151694.27,0.0,26.51,54.99,67.69,77.4,86.27,94.19,98.76,99.67,266874.43,640348.34,8760.0,1355884.98,30.0,-1.44,-0.38,-38.3,-22.34,-17.16,-14.65,-11.91,-6.45,-0.38,5.64,10.18,11.91,13.62,17.34,1.08,68.6,6009.0
23,simulation,3A,2020s,HotelLarge,Atlanta,11000,0.06,1338907252.1,91.44,8010.0,100.0,539583.07,539583.07,47.56,152843.29,167154.46,98624.04,131508.46,0.0,80.78,43.21,51.28,57.8,64.37,70.62,80.79,90.59,95.87,99.16,8125.27,296468.77,8760.0,0.14,85585486.4,100.0,54.82,4802.0,117533.9,117533.9,10.36,9770.03,17822.88,68.64,3601.91,0.0,0.0,79.05,83.4,88.01,91.78,94.71,97.1,98.9,99.62,99.94,0.0,5163.1,8760.0,116714.59,36.7,16.65,17.66,-12.55,4.11,8.26,10.11,11.81,14.89,17.66,20.42,22.45,23.48,24.65,28.09,0.22,46.27,4053.0
24,simulation,1A,2020s,OfficeLarge,Miami,46000,0.0,5493620546.09,89.79,7866.0,100.0,2226735.16,2226735.16,48.07,627125.63,698400.78,513636.29,591739.08,0.0,1365.35,31.99,44.7,58.69,67.28,75.74,82.02,96.48,99.59,99.86,40672.09,1088359.6,8760.0,0.94,669632.19,100.0,1.42,124.0,83967.64,83967.64,1.81,76.44,5400.26,0.0,579.35,0.0,0.2,99.78,99.85,99.9,99.94,99.95,99.97,99.99,99.99,99.99,0.0,0.0,8760.0,15853.65,35.35,24.51,25.1,5.25,18.3,21.53,22.45,23.01,24.19,25.1,26.1,26.99,27.55,28.26,29.65,0.04,1.42,124.0
25,simulation,3B,2020s,HotelLarge,San Diego,11000,0.04,800013370.4,98.28,8609.0,100.0,421762.07,421762.07,37.18,91325.73,92927.56,63791.14,65587.8,0.0,183.99,37.68,59.46,72.09,81.58,88.84,93.7,96.94,98.93,99.78,23647.39,139587.62,8760.0,0.47,29089967.59,100.0,69.21,6063.0,94167.33,94167.33,8.3,3320.77,4797.95,254.57,1294.11,0.0,0.02,92.59,95.08,96.77,98.16,98.93,99.38,99.67,99.82,99.94,0.0,2549.53,8760.0,93507.55,36.42,16.01,16.0,1.83,10.42,12.0,13.0,13.42,14.83,16.0,17.0,18.0,18.58,19.83,22.0,0.22,67.49,5912.0
26,simulation,8,2000s,OutPatientHealthCare,Fairbanks,4000,2.44,344536891.68,60.0,5256.0,100.0,270242.45,270242.45,71.04,39330.7,65551.16,10955.56,36824.43,0.0,14.59,63.24,74.25,78.14,85.48,90.92,94.49,97.16,98.64,99.71,0.0,62428.63,8760.0,0.17,839828172.44,100.0,100.0,8760.0,400318.99,400318.99,105.24,95870.8,95870.8,66094.59,66094.59,8652.92,8652.92,29.34,57.33,74.14,82.88,87.32,90.98,94.33,96.97,98.53,36200.01,122654.96,8760.0,400318.99,30.0,-1.44,-0.38,-38.3,-22.34,-17.16,-14.65,-11.91,-6.45,-0.38,5.64,10.18,11.91,13.62,17.34,1.48,60.0,5256.0
27,simulation,5A,2000s,HotelLarge,Chicago,11000,0.44,1615158189.0,90.07,7890.0,100.0,873118.73,873118.73,76.96,184378.79,204709.53,30850.19,70384.08,0.0,269.85,56.62,62.81,67.98,72.57,78.42,86.95,94.41,98.57,99.74,6475.23,386079.54,8760.0,0.27,712535875.97,100.0,99.66,8730.0,799443.13,799443.13,70.46,81339.71,81619.23,61063.76,61324.83,0.0,1.17,62.18,88.49,95.88,98.49,99.44,99.63,99.63,99.69,99.74,31305.8,105753.74,8760.0,799443.13,39.58,11.39,12.0,-27.05,-4.68,1.58,3.92,6.0,9.0,12.0,15.42,19.0,21.0,22.42,26.03,0.92,89.73,7860.0
28,simulation,2A,2020s,Hospital,Tampa,22000,0.16,7033587609.72,100.0,8760.0,100.0,1854822.03,1854822.03,82.67,802920.96,802920.96,823452.11,823452.11,28513.31,28513.31,11.7,22.32,30.26,39.39,63.11,75.07,83.56,91.58,99.24,434934.66,1109537.37,8760.0,0.96,1125189955.32,100.0,100.0,8760.0,324045.35,324045.35,14.44,128446.34,128446.34,129920.07,129920.07,59764.16,59764.16,0.0,0.43,18.93,49.61,86.21,96.62,99.41,99.9,99.99,103983.7,148795.59,8760.0,284605.62,36.07,21.89,23.74,-3.4,11.39,15.85,17.38,18.76,21.57,23.74,25.0,26.1,26.7,27.49,30.0,0.17,100.0,8760.0
29,simulation,6A,2000s,OfficeLarge,Rochester,46000,1.04,2574363281.52,45.53,3988.0,100.0,2851372.82,2851372.82,61.56,293877.09,645527.4,0.0,496820.31,0.0,0.0,69.19,79.75,86.47,90.78,93.49,96.03,98.9,99.6,99.9,0.0,438886.17,8760.0,0.01,2665825529.44,100.0,61.52,5389.0,3278996.41,3278996.41,70.79,304317.98,494679.07,22474.34,277638.91,0.0,2.81,71.6,81.69,89.13,94.04,96.58,98.32,99.32,99.79,99.9,0.0,411766.85,8760.0,3278996.41,33.9,6.46,7.8,-36.7,-11.45,-4.4,-2.8,-0.89,2.89,7.8,11.91,15.46,17.16,18.76,22.8,1.15,14.27,1250.0
30,simulation,3C,2020s,HotelLarge,San Jose,11000,0.13,588423217.27,92.43,8097.0,100.0,431432.5,431432.5,38.03,67171.6,72671.76,35950.42,42609.04,0.0,173.95,54.1,72.09,81.32,88.52,93.76,96.75,98.53,99.53,99.91,11651.15,97041.5,8760.0,0.24,74810531.7,100.0,75.62,6624.0,126598.96,126598.96,11.16,8540.02,11293.86,781.18,2308.91,0.0,0.0,85.25,89.6,92.67,94.47,95.92,97.2,98.08,98.81,99.52,0.02,5392.84,8760.0,126598.96,34.9,14.88,14.65,0.35,8.3,10.6,11.58,12.41,13.55,14.65,15.75,16.91,17.83,19.0,22.17,0.29,68.05,5961.0
